godina;gradska_cetvrt;stanovnika;iznos_eur;po_stanovniku_eur
2024;Brezovica;12046;5661500.00;469.99
2024;Donji grad;31209;8226900.00;263.61
2024;Gornji grad - Medveščak;26423;6588000.00;249.33
2024;Podsljeme;18974;3357900.00;176.97
2024;Sesvete;70800;12138400.00;171.45
2024;Trnje;40539;6820300.00;168.24
2024;Peščenica - Žitnjak;53023;8816300.00;166.27
2024;Novi Zagreb - istok;55898;7687700.00;137.53
2024;Gornja Dubrava;58255;7789200.00;133.71
2024;Novi Zagreb - zapad;63917;8345200.00;130.56
2024;Maksimir;47356;6006200.00;126.83
2024;Podsused - Vrapče;44910;5667000.00;126.19
2024;Črnomerec;38084;4669200.00;122.60
2024;Trešnjevka - jug;65324;7110400.00;108.85
2024;Donja Dubrava;33537;3529400.00;105.24
2024;Stenjevec;53862;5497800.00;102.07
2024;Trešnjevka - sjever;52974;5088600.00;96.06
