godina;sifra_ureda;naziv_ureda;iznos_eur;broj_isplata;broj_primatelja;udio_posto
2024;009;GRADSKI URED ZA OBRAZOVANJE, SPORT I MLADE;425542500.08;31961;710;25.99
2024;008;GRADSKI URED ZA GOSPODARSTVO, EKOLOŠKU ODRŽIVOST I STRATEGIJSKO PLANIRANJE;363740606.54;7665;354;22.21
2024;012;GRADSKI URED ZA IZGRADNJU, PROSTORNO UREĐENJE, GRADITELJSTVO I OBNOVU;220704622.63;9231;512;13.48
2024;005;GRADSKI URED ZA MJESNU SAMOUPRAVU, PROMET, KOMUNALNE POSLOVE, CIVILNU ZAŠTITU I SIGURNOST;162132487.30;4833;456;9.90
2024;021;GRADSKI URED ZA SOCIJALNU ZAŠTITU,  ZDRAVSTVO, BRANITELJE I OSOBE S INVALIDITETOM;150632254.98;7295;392;9.20
2024;024;GRADSKI URED ZA KULTURU I CIVILNO DRUŠTVO;109670597.54;6459;691;6.70
2024;007;GRADSKI URED ZA FINANCIJE I JAVNU NABAVU;48725415.98;2342;101;2.98
2024;033;GRADSKI URED ZA DIGITALIZACIJU, NOVE TEHNOLOGIJE I TEHNIČKE POSLOVE;43154914.03;9351;227;2.64
2024;000;PRIHODI GRADA ZAGREBA;41194207.66;12;1;2.52
2024;013;GRADSKI URED ZA UPRAVLJANJE IMOVINOM I STANOVANJE;37112906.78;27233;163;2.27
2024;020;STRUČNA SLUŽBA GRADSKE UPRAVE;9403702.67;5204;83;0.57
2024;006;GRADSKI URED ZA OPĆU UPRAVU I IMOVINSKO-PRAVNE POSLOVE;9024156.33;410;22;0.55
2024;014;GRADSKI URED ZA KATASTAR I GEODETSKE POSLOVE;5171263.32;546;29;0.32
2024;018;STRUČNA SLUŽBA GRADSKE SKUPŠTINE;4345589.85;646;86;0.27
2024;001;URED GRADONAČELNIKA;3781770.65;577;105;0.23
2024;017;GRADSKI URED ZA KULTURNU BAŠTINU I PRIRODU;1890268.87;221;20;0.12
2024;003;GRADSKI URED ZA UNUTARNJU REVIZIJU I KONTROLU;1198111.95;151;21;0.07
2025;009;GRADSKI URED ZA OBRAZOVANJE, SPORT I MLADE;519984627.33;33765;713;28.32
2025;008;GRADSKI URED ZA GOSPODARSTVO, EKOLOŠKU ODRŽIVOST I STRATEGIJSKO PLANIRANJE;315049051.70;5440;539;17.16
2025;012;GRADSKI URED ZA IZGRADNJU, PROSTORNO UREĐENJE, GRADITELJSTVO I OBNOVU;287796098.51;10585;555;15.68
