godina;sifra_programa;naziv_programa;sifra_ekonomske;naziv_ekonomske;plan_eur;isplaceno_eur;razlika_eur;omjer_posto
2025;A011808A180803;VODOOPSKRBA I ODVODNJA;3512;Subvencije trgovačkim društvima u javnom sektoru;1000000.00;14000000.00;13000000.00;1400.0
2025;A012205A220503;ODRŽAVANJE JAVNIH POVRŠINA;3232;Usluge tekućeg i investicijskog održavanja;20793000.00;33110833.28;12317833.28;159.2
2025;A011213K121301;NABAVA STANOVA, POSLOVNIH PROSTORA I ZEMLJIŠTA;4212;Poslovni objekti;2500000.00;13198001.00;10698001.00;527.9
2025;A012205A220502;ČIŠĆENJE JAVNIH POVRŠINA;3232;Usluge tekućeg i investicijskog održavanja;20315000.00;25273634.79;4958634.79;124.4
2025;A022124A212401;REDOVNA DJELATNOST PRORAČUNSKIH KORISNIKA;3111;Plaće za redovan rad;56389600.00;60201111.66;3811511.66;106.8
2025;A011209A120907;VJERSKI I PRIVATNI VRTIĆI I DRUGE POMOĆI;3811;Tekuće donacije u novcu;17015000.00;20583986.71;3568986.71;121.0
2025;A011908A190801;ZAGREBAČKI ELEKTRIČNI TRAMVAJ;3512;Subvencije trgovačkim društvima u javnom sektoru;151312000.00;154499563.08;3187563.08;102.1
2025;A023109A310908;POMOĆNICI U NASTAVI;3111;Plaće za redovan rad;6825000.00;9609243.12;2784243.12;140.8
2025;A011112A111201;REDOVNA DJELATNOST UPRAVNIH TIJELA;3239;Ostale usluge;5802000.00;8060666.04;2258666.04;138.9
2025;A011112A111201;REDOVNA DJELATNOST UPRAVNIH TIJELA;3111;Plaće za redovan rad;18573000.00;20726167.51;2153167.51;111.6
2025;A011221A122101;DODATAK UZ MIROVINU, DRUGE POMOĆI I USLUGE;3721;Naknade građanima i kućanstvima u novcu;17367700.00;19256865.61;1889165.61;110.9
2025;A022119A211901;REDOVNA DJELATNOST PRORAČUNSKIH KORISNIKA;3111;Plaće za redovan rad;11928800.00;13728800.00;1800000.00;115.1
2025;A011812K181201;SANACIJA KLIZIŠTA;4214;Ostali građevinski objekti;5000000.00;6699049.48;1699049.48;134.0
