godina;oib;naziv;iznos_eur;broj_isplata;udio_posto
2024;85584865987;ZAGREBAČKI HOLDING D.O.O.;220412269.60;9609;13.46
2024;82031999604;ZAGREBAČKI ELEKTRIČNI TRAMVAJ DOO;192820855.57;652;11.78
2024;GDPR;Fizičke osobe (anonimizirano);84840062.97;12854;5.18
2024;18683136487;MINISTARSTVO FINANCIJA;75512420.87;1012;4.61
2024;00000000010;POVREMENA NESAMOSTALNA I SAMOSTALNA DJELATNOST;51711409.21;1129;3.16
2024;22987484862;ZAGREBAČKE OTPADNE VODE D.O.O.;34959257.80;14;2.14
2024;23057039320;ERSTE STEIERMARKISCHE BANK;31122984.15;140;1.90
2024;92963223473;ZAGREBAČKA BANKA  D.D. ZAGREB;31086921.30;252;1.90
2024;83416546499;VODOOPSKRBA I ODVODNJA D.O.O.;29547698.46;8921;1.80
2024;59365213244;UPRAVLJANJE SPORTSKIM OBJEKTIMA;27213477.34;50;1.66
2024;73807462275;SPORTSKI SAVEZ GRADA ZAGREBA;25000000.00;12;1.53
2024;92366589656;JAVNA VATROGASNA POSTROJBA GRADA ZAGREBA;18630043.21;42;1.14
2024;03744272526;GRADSKO STAMBENO KOMUNALNO GOSPODARSTVO D.O.O.;16358723.04;566;1.00
2024;93571946376;KNJIŽNICE GRADA ZAGREBA;16039040.39;104;0.98
2024;99639891810;PROJEKTGRADNJA PLUS D.O.O;11529203.52;16;0.70
2024;23023589098;MODULOR CONSTRUCTIONS DOO;11503197.18;12;0.70
2024;77931216562;URIHO USTANOVA ZA PROF.REHABILITACIJU I ZAP.OSOBA S INVAL.;11449961.14;170;0.70
2024;02535697732;PRIVREDNA BANKA ZAGREB DD;10954442.29;88;0.67
2024;10852199405;HRVATSKO NARODNO KAZALIŠTE;10557726.67;53;0.64
2024;76370234816;ELICOM D.O.O.;9229707.83;36;0.56
2024;89931241548;KAMGRAD D.O.O.;8876898.67;12;0.54
2024;95660678441;ZAGREBAČKI VELESAJAM DOO;8091647.24;323;0.49
2024;63073332379;HEP OPSKRBA D.O.O.;7923285.79;423;0.48
2024;91678676896;COMBIS D.O.O.;7840895.61;70;0.48
2024;13530191392;TEH - GRADNJA D.O.O.;7528911.65;21;0.46
2024;59569102212;ZAGREBAČKO GRADSKO KAZALIŠTE KOMEDIJA;6847233.21;124;0.42
2024;98656691838;JEDINSTVO KRAPINA DOO;6560165.46;14;0.40
2024;38657725741;ZAGREBAČKA FILHARMONIJA;6199801.14;85;0.38
2024;70362197460;USTANOVA DOBRI DOM GRADA ZAGREBA;5993120.34;22;0.37
2024;12127688152;VG5 DOO;5920701.91;12;0.36
2024;53150371536;HRVATSKI PRIRODOSLOVNI MUZEJ;5844323.20;95;0.36
2024;31002922849;SPEGRA D.O.O.;5584208.53;28;0.34
2024;69262261098;USTANOVA ZOOLOŠKI VRT GRADA ZAGREBA;5553621.31;13;0.34
2024;81106567513;DV VRAPČE;5408273.26;112;0.33
2024;97345554668;DV BAJKA;5081050.93;100;0.31
2024;14482540987;IZGRADNJA FUTURA D.O.O.;5079709.68;25;0.31
2024;23929404756;TEKTON CONSTRUCTION DOO;4882807.99;32;0.30
2024;31015599358;DV ŠEGRT HLAPIĆ;4696940.46;107;0.29
2024;66896155710;DOM ZDRAVLJA ZAGREB ZAPAD;4687327.89;58;0.29
2024;66494507454;DV SUNČANA;4525306.95;103;0.28
2024;13254939546;ZAGREBAČKO KAZALIŠTE MLADIH;4516466.94;143;0.28
2024;69476494959;DV GAJNICE;4495050.07;105;0.27
2024;88388890400;DV JARUN;4489480.14;102;0.27
2024;31422239000;DV SESVETE;4359376.60;134;0.27
2024;20142998436;STORM COMPUTERS D.O.O.;4180614.76;44;0.26
2024;78167252842;DV GRIGOR VITEZ;4140758.34;106;0.25
2024;67939296499;DOM ZA STARIJE OSOBE TREŠNJEVKA ZAGREB;4123560.04;82;0.25
2024;52044657571;GRADITELJ SVRATIŠTA D.O.O.;4071911.91;727;0.25
2024;44879111575;NASTAVNI ZAVOD ZA HITNU MEDICINU GRADA ZAGREBA;4030793.09;53;0.25
2024;61817894937;GRAD ZAGREB;4020969.15;1335;0.25
2025;82031999604;ZAGREBAČKI ELEKTRIČNI TRAMVAJ DOO;231590324.21;682;12.62
2025;85584865987;ZAGREBAČKI HOLDING D.O.O.;211473084.72;7075;11.52
2025;GDPR;Fizičke osobe (anonimizirano);125850104.26;11888;6.86
2025;18683136487;MINISTARSTVO FINANCIJA;86715432.70;849;4.72
2025;59365213244;UPRAVLJANJE SPORTSKIM OBJEKTIMA;37006329.41;58;2.02
2025;73807462275;SPORTSKI SAVEZ GRADA ZAGREBA;30000000.00;12;1.63
2025;92963223473;ZAGREBAČKA BANKA  D.D. ZAGREB;27071945.98;294;1.47
2025;00000000010;POVREMENA NESAMOSTALNA I SAMOSTALNA DJELATNOST;26542653.28;1022;1.45
2025;92366589656;JAVNA VATROGASNA POSTROJBA GRADA ZAGREBA;23338846.77;76;1.27
2025;83416546499;VODOOPSKRBA I ODVODNJA D.O.O.;22401668.33;7154;1.22
2025;23057039320;ERSTE STEIERMARKISCHE BANK;21109647.93;87;1.15
2025;89931241548;KAMGRAD D.O.O.;20217871.28;12;1.10
