godina;sifra;naziv;plan_eur;isplaceno_eur;omjer_posto
2025;3111;Plaće za redovan rad;838056030.00;386749296.56;46.1
2025;3232;Usluge tekućeg i investicijskog održavanja;269196510.00;226761800.85;84.2
2025;4511;Dodatna ulaganja na građevinskim objektima;248186650.00;66844903.85;26.9
2025;3512;Subvencije trgovačkim društvima u javnom sektoru;217189100.00;229780383.12;105.8
2025;3132;Doprinosi za obvezno zdravstveno osiguranje;137165540.00;60926204.65;44.4
2025;4214;Ostali građevinski objekti;126779700.00;64137014.52;50.6
2025;4212;Poslovni objekti;112068085.00;49541577.15;44.2
2025;3811;Tekuće donacije u novcu;85871460.00;88275807.49;102.8
2025;3861;Kapitalne pomoći kreditnim i ostalim financijskim institucijama te trgovačkim društvima u javnom sektoru;62086000.00;25890046.47;41.7
2025;3239;Ostale usluge;61362290.00;46319009.64;75.5
2025;3222;Materijal i sirovine;60756750.00;21024986.82;34.6
2025;9999;;0.00;60408891.87;
2025;3121;Ostali rashodi za zaposlene;57488590.00;36054059.14;62.7
2025;4213;Ceste, željeznice i ostali prometni objekti;49348000.00;20753131.43;42.1
2025;3223;Energija;47843470.00;37485946.58;78.4
2025;3722;Naknade građanima i kućanstvima u naravi;45724560.00;37506352.64;82.0
2025;3721;Naknade građanima i kućanstvima u novcu;45155570.00;44259961.38;98.0
2025;3831;Naknade šteta pravnim i fizičkim osobama;41805800.00;3228564.71;7.7
2025;5443;Otplata glavnice primljenih kredita od tuzemnih kreditnih institucija izvan javnog sektora;38317630.00;38075567.65;99.4
2025;3237;Intelektualne i osobne usluge;37762980.00;17383587.34;46.0
2025;3235;Zakupnine i najamnine;34064090.00;32852689.91;96.4
2025;3234;Komunalne usluge;29046120.00;19657778.95;67.7
2025;3661;Tekuće pomoći proračunskim korisnicima drugih proračuna;14557100.00;21633149.01;148.6
2025;3631;Tekuće pomoći unutar općeg proračuna;21256100.00;4867540.56;22.9
2025;3212;Naknade za prijevoz, za rad na terenu i odvojeni život;19222480.00;9969339.63;51.9
2025;5141;Dani zajmovi trgovačkim društvima u javnom sektoru;667000.00;18500000.00;2773.6
2025;3299;Ostali nespomenuti rashodi poslovanja;16678480.00;12374926.60;74.2
2025;23111;;0.00;15950740.75;
2025;3238;Računalne usluge;13814960.00;10113735.35;73.2
2025;3113;Plaće za prekovremeni rad;12701790.00;854473.58;6.7
2026;3111;Plaće za redovan rad;840215360.00;270867767.47;32.2
2026;3232;Usluge tekućeg i investicijskog održavanja;265925600.00;143537906.49;54.0
2026;4511;Dodatna ulaganja na građevinskim objektima;250087050.00;53277354.25;21.3
2026;3512;Subvencije trgovačkim društvima u javnom sektoru;193864100.00;167476895.66;86.4
2026;4212;Poslovni objekti;155281625.00;40898503.31;26.3
2026;3132;Doprinosi za obvezno zdravstveno osiguranje;137200020.00;43164867.63;31.5
2026;4214;Ostali građevinski objekti;114072700.00;43850300.18;38.4
2026;3811;Tekuće donacije u novcu;84708510.00;55557990.38;65.6
2026;3222;Materijal i sirovine;60635540.00;11526563.38;19.0
2026;3121;Ostali rashodi za zaposlene;56909790.00;22276315.47;39.1
2026;4213;Ceste, željeznice i ostali prometni objekti;54162700.00;20269047.20;37.4
2026;3239;Ostale usluge;53454230.00;33532629.82;62.7
2026;3223;Energija;48343670.00;22257238.64;46.0
2026;5443;Otplata glavnice primljenih kredita od tuzemnih kreditnih institucija izvan javnog sektora;46169630.00;32793624.05;71.0
2026;3722;Naknade građanima i kućanstvima u naravi;44222260.00;23676944.03;53.5
2026;3861;Kapitalne pomoći kreditnim i ostalim financijskim institucijama te trgovačkim društvima u javnom sektoru;40439000.00;9838540.92;24.3
2026;3721;Naknade građanima i kućanstvima u novcu;39104070.00;29044256.81;74.3
2026;9999;;0.00;36534070.34;
2026;3235;Zakupnine i najamnine;35115140.00;22588788.61;64.3
2026;3237;Intelektualne i osobne usluge;31311970.00;8233452.25;26.3
2026;3234;Komunalne usluge;27781220.00;12778227.54;46.0
2026;3631;Tekuće pomoći unutar općeg proračuna;21256100.00;450.00;0.0
2026;3661;Tekuće pomoći proračunskim korisnicima drugih proračuna;14548300.00;21174695.24;145.5
2026;3212;Naknade za prijevoz, za rad na terenu i odvojeni život;19261740.00;6464686.66;33.6
2026;3299;Ostali nespomenuti rashodi poslovanja;15271220.00;11016712.66;72.1
2026;3238;Računalne usluge;13333710.00;6425006.51;48.2
2026;3113;Plaće za prekovremeni rad;12750140.00;753194.68;5.9
2026;4221;Uredska oprema i namještaj;11364420.00;7398796.73;65.1
2026;23111;;0.00;10851515.12;
2026;3221;Uredski materijal i ostali materijalni rashodi;10582840.00;2967670.31;28.0
