mjesec;iznos_eur;broj_isplata;broj_dana
2024-01;119318454.70;11104;22
2024-02;110693329.65;14179;22
2024-03;125320460.27;20602;21
2024-04;126617593.94;18026;21
2024-05;110555821.55;16967;21
2024-06;116560770.13;14597;21
2024-07;124635029.86;16480;23
2024-08;145971518.34;14711;22
2024-09;125539579.93;17444;22
2024-10;157435812.71;16346;25
2024-11;146452248.28;16309;21
2024-12;228324757.80;25484;21
2025-01;122622492.10;10925;22
2025-02;120794858.07;14348;22
2025-03;138428178.42;18791;22
2025-04;151982740.80;17891;22
2025-05;151239612.71;16908;24
2025-06;152516872.75;14493;21
2025-07;141453360.61;17210;24
2025-08;130011832.52;12003;23
2025-09;162190363.69;17670;22
2025-10;157667843.41;17040;24
2025-11;145447261.22;15511;21
2025-12;261460289.00;24720;24
2026-01;156859741.39;8338;22
2026-02;122497983.92;16739;22
2026-03;151724305.71;14121;23
2026-04;146218678.76;14011;21
2026-05;146790600.90;17601;21
2026-06;195328317.48;19267;20
2026-07;207089607.63;18219;23
2026-08;161194410.25;10622;20
