godina;oib;naziv;iznos_eur;broj_isplata;udio_posto
2024;85584865987;ZAGREBAČKI HOLDING D.O.O.;220412269.60;9609;13.46
2024;82031999604;ZAGREBAČKI ELEKTRIČNI TRAMVAJ DOO;192820855.57;652;11.78
2024;18683136487;MINISTARSTVO FINANCIJA;75512420.87;1012;4.61
2024;00000000010;POVREMENA NESAMOSTALNA I SAMOSTALNA DJELATNOST;51711409.21;1129;3.16
2024;22987484862;ZAGREBAČKE OTPADNE VODE D.O.O.;34959257.80;14;2.14
2024;23057039320;ERSTE STEIERMARKISCHE BANK;31122984.15;140;1.90
2024;92963223473;ZAGREBAČKA BANKA  D.D. ZAGREB;31086921.30;252;1.90
2024;83416546499;VODOOPSKRBA I ODVODNJA D.O.O.;29547698.46;8921;1.80
2024;59365213244;UPRAVLJANJE SPORTSKIM OBJEKTIMA;27213477.34;50;1.66
2024;73807462275;SPORTSKI SAVEZ GRADA ZAGREBA;25000000.00;12;1.53
2024;92366589656;JAVNA VATROGASNA POSTROJBA GRADA ZAGREBA;18630043.21;42;1.14
2024;03744272526;GRADSKO STAMBENO KOMUNALNO GOSPODARSTVO D.O.O.;16358723.04;566;1.00
2024;93571946376;KNJIŽNICE GRADA ZAGREBA;16039040.39;104;0.98
2024;99639891810;PROJEKTGRADNJA PLUS D.O.O;11529203.52;16;0.70
2024;23023589098;MODULOR CONSTRUCTIONS DOO;11503197.18;12;0.70
2024;77931216562;URIHO USTANOVA ZA PROF.REHABILITACIJU I ZAP.OSOBA S INVAL.;11449961.14;170;0.70
2024;02535697732;PRIVREDNA BANKA ZAGREB DD;10954442.29;88;0.67
2024;10852199405;HRVATSKO NARODNO KAZALIŠTE;10557726.67;53;0.64
2024;76370234816;ELICOM D.O.O.;9229707.83;36;0.56
2024;89931241548;KAMGRAD D.O.O.;8876898.67;12;0.54
2024;95660678441;ZAGREBAČKI VELESAJAM DOO;8091647.24;323;0.49
2024;63073332379;HEP OPSKRBA D.O.O.;7923285.79;423;0.48
2024;91678676896;COMBIS D.O.O.;7840895.61;70;0.48
2024;13530191392;TEH - GRADNJA D.O.O.;7528911.65;21;0.46
2024;59569102212;ZAGREBAČKO GRADSKO KAZALIŠTE KOMEDIJA;6847233.21;124;0.42
2024;98656691838;JEDINSTVO KRAPINA DOO;6560165.46;14;0.40
2024;38657725741;ZAGREBAČKA FILHARMONIJA;6199801.14;85;0.38
2024;70362197460;USTANOVA DOBRI DOM GRADA ZAGREBA;5993120.34;22;0.37
2024;12127688152;VG5 DOO;5920701.91;12;0.36
2024;53150371536;HRVATSKI PRIRODOSLOVNI MUZEJ;5844323.20;95;0.36
2024;31002922849;SPEGRA D.O.O.;5584208.53;28;0.34
2024;69262261098;USTANOVA ZOOLOŠKI VRT GRADA ZAGREBA;5553621.31;13;0.34
2024;81106567513;DV VRAPČE;5408273.26;112;0.33
2024;97345554668;DV BAJKA;5081050.93;100;0.31
2024;14482540987;IZGRADNJA FUTURA D.O.O.;5079709.68;25;0.31
2024;23929404756;TEKTON CONSTRUCTION DOO;4882807.99;32;0.30
2024;31015599358;DV ŠEGRT HLAPIĆ;4696940.46;107;0.29
2024;66896155710;DOM ZDRAVLJA ZAGREB ZAPAD;4687327.89;58;0.29
2024;66494507454;DV SUNČANA;4525306.95;103;0.28
2024;13254939546;ZAGREBAČKO KAZALIŠTE MLADIH;4516466.94;143;0.28
2024;69476494959;DV GAJNICE;4495050.07;105;0.27
2024;88388890400;DV JARUN;4489480.14;102;0.27
2024;31422239000;DV SESVETE;4359376.60;134;0.27
2024;20142998436;STORM COMPUTERS D.O.O.;4180614.76;44;0.26
2024;78167252842;DV GRIGOR VITEZ;4140758.34;106;0.25
2024;67939296499;DOM ZA STARIJE OSOBE TREŠNJEVKA ZAGREB;4123560.04;82;0.25
2024;52044657571;GRADITELJ SVRATIŠTA D.O.O.;4071911.91;727;0.25
2024;44879111575;NASTAVNI ZAVOD ZA HITNU MEDICINU GRADA ZAGREBA;4030793.09;53;0.25
2024;61817894937;GRAD ZAGREB;4020969.15;1335;0.25
2024;23901219315;GRADSKO DRAMSKO KAZALIŠTE GAVELLA;4013917.80;92;0.25
2024;42776586352;DV MARKUŠEVEC;3929836.22;107;0.24
2024;49823978318;DV TRNSKO;3917743.81;112;0.24
2024;03864029789;DV ZAPRUĐE;3916367.73;116;0.24
2024;13433301401;DV BUKOVAC;3886421.45;112;0.24
2024;34583734418;EBC SISTEMI D.O.O.;3852540.57;71;0.24
2024;20169135633;DV TRATINČICA;3845274.10;115;0.23
2024;05850332623;DV MALEŠNICA;3793707.25;143;0.23
2024;74971361430;STRABAG DOO;3757841.21;7;0.23
2024;81468897500;DV TRAVNO;3695472.69;107;0.23
2024;08505654578;DV VRBIK;3692832.01;113;0.23
2024;02111947694;DV PREČKO;3634476.40;100;0.22
2024;14774069475;DV EN TEN TINI;3584847.53;106;0.22
2024;50467501180;DV RADOST;3561658.73;106;0.22
2024;33985054792;DV CVRČAK;3517922.10;102;0.21
2024;77584434873;ZAGREBAČKI SUNČANI KROVOVI DOO;3510000.00;2;0.21
2024;78352024822;MUZEJ SUVREMENE UMJETNOSTI;3486769.08;72;0.21
2024;14638236220;DV HRVATSKI LESKOVAC;3418728.59;121;0.21
2024;31128033678;DV PČELICA;3351713.03;104;0.20
