naziv;vrsta;adresa;gradska_cetvrt;lat;lon;oib;iznos_eur;broj_isplata
Zagrebačko gradsko kazalište Komedija;Kulturna ustanova;Kaptol 9;;45.816419;15.978144;59569102212;21246186.39;297
Zagrebačko kazalište mladih;Kulturna ustanova;Ulica Nikole Tesle  7;;45.811246;15.975747;13254939546;14345050.95;344
Gradsko dramsko kazalište Gavella;Kulturna ustanova;Frankopanska ulica 10;;45.812102;15.969337;23901219315;12919798.05;235
Hrvatski prirodoslovni muzej;Kulturna ustanova;Demetrova ulica 1;;45.817113;15.97229;53150371536;11556739.61;224
Muzej suvremene umjetnosti;Kulturna ustanova;Avenija Dubrovnik 17;;45.778436;15.981546;78352024822;10493104.85;183
Muzej za umjetnost i obrt;Kulturna ustanova;Trg Republike Hrvatske 10;;45.809403;15.968666;02728849314;7712822.37;250
Zagrebačko kazalište lutaka;Kulturna ustanova;Trg kralja Tomislava 19;;45.806997;15.977808;53838475417;7652715.04;155
Gradsko kazalište Trešnja;Kulturna ustanova;Mošćenička ulica 1;;45.794768;15.943641;28265486672;6543653.56;154
Muzej grada Zagreba;Kulturna ustanova;Opatička ulica 20;;45.818392;15.974761;68127446342;6163872.77;182
Arheološki muzej u Zagrebu;Kulturna ustanova;Trg Nikole Zrinskog 19;;45.811072;15.977306;79157146686;5696866.72;225
"Nastavni zavod za javno zdravstvo"" Dr. Andrija Štampar""";Zdravstvena ustanova;Mirogojska cesta 16;;45.831432;15.980528;33392005961;4692980.42;748
Tehnički muzej Nikola Tesla;Kulturna ustanova;Savska cesta 18;;45.803817;15.964433;37198918530;4328319.83;136
POLIKLINIKA ZA REHABILITACIJU SLUŠANJA, GOVORA SUVAG;Osnovna škola;Ulica Ljudevita Posavskog 10;DONJI GRAD;45.808153;15.993488;88696689887;4026729.81;455
OSNOVNA ŠKOLA ŽUTI BRIJEG;Osnovna škola;Vrtnjakovečka ulica 8;GORNJA DUBRAVA;45.839078;16.035087;36955576207;3796834.58;311
Narodno sveučilište Dubrava;Kulturna ustanova;Cerska ulica 1;;45.824274;16.041679;47521323377;3790068.50;274
OSNOVNA ŠKOLA SAVSKI GAJ;Osnovna škola;Remetinečka cesta 64A;NOVI ZAGREB - ZAPAD;45.775125;15.9518;33995559159;3504869.98;349
Gradsko kazalište Žar ptica;Kulturna ustanova;Bijenička cesta 97;;45.832483;15.994494;84398178962;3396933.31;164
OSNOVNA ŠKOLA AUGUSTA ŠENOE;Osnovna škola;Selska cesta 95;TREŠNJEVKA - SJEVER;45.802493;15.943561;47377939383;3359056.77;394
OSNOVNA ŠKOLA KRALJA TOMISLAVA;Osnovna škola;Nova cesta 92;TREŠNJEVKA - SJEVER;45.801491;15.955074;44900859510;3238293.31;316
Psihijatrijska bolnica za djecu i mladež;Zdravstvena ustanova;Ulica Ivana Kukuljevića 11;;45.81509;15.963215;51196068839;2978500.49;99
OSNOVNA ŠKOLA DRAGUTINA DOMJANIĆA;Osnovna škola;Gajnice 31;PODSUSED - VRAPČE;45.818372;15.871888;09149352137;2966222.02;367
OSNOVNA ŠKOLA TITUŠA BREZOVAČKOG;Osnovna škola;Špansko 1;STENJEVEC;45.801075;15.898808;07628779327;2918406.16;308
OSNOVNA ŠKOLA ANTE KOVAČIĆA;Osnovna škola;Kotarnica 17;STENJEVEC;45.803436;15.89318;04318334164;2913488.10;338
OSNOVNA ŠKOLA IVE ANDRIĆA;Osnovna škola;Ulica Milovana Kovačevića 18;NOVI ZAGREB - ISTOK;45.773483;15.985873;24061503881;2868714.52;340
OSNOVNA ŠKOLA DRAGUTINA TADIJANOVIĆA;Osnovna škola;Bolnička cesta 60A;PODSUSED - VRAPČE;45.817966;15.890262;73051728774;2866972.72;326
Specijalna bolnica za plućne bolesti;Zdravstvena ustanova;Rockefellerova ulica 3;;45.829605;15.982028;75982310877;2743912.05;77
OSNOVNA ŠKOLA GUSTAVA KRKLECA;Osnovna škola;Ulica Božidara Magovca 103;NOVI ZAGREB - ISTOK;45.770395;15.998466;60669015692;2668709.35;373
